DU91W2250 airfoil at
20M Reynolds number. 
 1 Number of airfoil tables in this file.
 0.0 Table ID parameter
 10.00 Stall angle (deg)
 0.0 No longer used, enter zero
 0.0 No longer used, enter zero
 0.0 No longer used, enter zero
 -4.0702   Zero Cn angle of attack (deg)
 6.7254   Cn slope for zero lift (dimensionless)
 1.6516   Cn extrapolated to value at positive stall angle of attack
 -0.8049   Cn at stall value for negative angle of attack
 -1.00     Angle of attack for minimum CD (deg)
 0.0051   Minimum CD value
-180.00    0.000   0.0100   0.0000
-170.00    0.441   0.0100   0.4000
-160.00    0.882   0.0971   0.5853
-150.00    0.949   0.3099   0.5431
-140.00    0.826   0.5718   0.4967
-130.00    0.707   0.8520   0.4959
-120.00    0.562   1.1177   0.5097
-110.00    0.388   1.3380   0.5225
-100.00    0.195   1.4877   0.5245
 -90.00    0.000   1.5500   0.5096
 -80.00   -0.195   1.4877   0.4692
 -70.00   -0.388   1.3380   0.4167
 -60.00   -0.562   1.1177   0.3590
 -50.00   -0.707   0.8520   0.3017
 -40.00   -0.826   0.5718   0.2475
 -30.00   -0.949   0.3099   0.1894
 -20.00   -0.989   0.1305   0.0859
 -10.00   -0.814   0.0204  -0.0532
  -9.00   -0.807   0.0140  -0.0541
  -8.00   -0.649   0.0089  -0.0796
  -7.00   -0.474   0.0069  -0.0985
  -6.00   -0.328   0.0061  -0.1078
  -5.00   -0.189   0.0057  -0.1146
  -4.00   -0.053   0.0053  -0.1203
  -3.00    0.078   0.0052  -0.1247
  -2.00    0.209   0.0052  -0.1288
  -1.00    0.339   0.0051  -0.1326
   0.00    0.468   0.0051  -0.1363
   1.00    0.597   0.0052  -0.1398
   2.00    0.724   0.0053  -0.1431
   3.00    0.851   0.0054  -0.1460
   4.00    0.968   0.0065  -0.1476
   5.00    1.077   0.0081  -0.1477
   6.00    1.189   0.0092  -0.1480
   7.00    1.300   0.0101  -0.1481
   8.00    1.407   0.0110  -0.1474
   9.00    1.507   0.0120  -0.1457
  10.00    1.594   0.0131  -0.1414
  11.00    1.649   0.0148  -0.1319
  12.00    1.694   0.0178  -0.1233
  13.00    1.718   0.0228  -0.1151
  14.00    1.705   0.0315  -0.1076
  15.00    1.630   0.0460  -0.1005
  16.00    1.553   0.0633  -0.0982
  17.00    1.512   0.0793  -0.0995
  18.00    1.495   0.0936  -0.1021
  19.00    1.484   0.1081  -0.1061
  20.00    1.482   0.1218  -0.1114
  21.00    1.496   0.1334  -0.1166
  22.00    1.498   0.1473  -0.1246
  24.00    1.512   0.1745  -0.1442
  30.00    1.356   0.3099  -0.2137
  40.00    1.180   0.5718  -0.2815
  50.00    1.009   0.8520  -0.3333
  60.00    0.803   1.1177  -0.3818
  70.00    0.555   1.3380  -0.4288
  80.00    0.279   1.4877  -0.4726
  90.00    0.000   1.5500  -0.5096
 100.00   -0.195   1.4877  -0.5245
 110.00   -0.388   1.3380  -0.5225
 120.00   -0.562   1.1177  -0.5097
 130.00   -0.707   0.8520  -0.4959
 140.00   -0.826   0.5718  -0.4967
 150.00   -0.949   0.3099  -0.5431
 160.00   -0.882   0.0971  -0.5853
 170.00   -0.441   0.0100  -0.5000
 180.00    0.000   0.0100   0.0000
