DU00W401 airfoil
at 20M Reynolds number. 
 1 Number of airfoil tables in this file
 0.0 Table ID parameter
 10.00     Stall angle (deg)
 0.0      No longer used, enter zero
 0.0      No longer used, enter zero
 0.0      No longer used, enter zero 
  -2.1209   Zero Cn angle of attack (deg)
   5.6756   Cn slope for zero lift (dimensionless)
   1.2007   Cn extrapolated to value at positive stall angle of attack
  -0.4340   Cn at stall value for negative angle of attack
   0.00     Angle of attack for minimum CD (deg)
   0.0041   Minimum CD value
-180.0000	0.0000	0.0351	0.0000
-170.0000	0.4390	0.0661	0.3266
-160.0000	0.6190	0.2194	0.1577
-150.0000	0.6630	0.4214	0.2249
-140.0000	0.6580	0.6440	0.2727
-130.0000	0.5950	0.8622	0.3101
-120.0000	0.4790	1.0543	0.3396
-110.0000	0.3210	1.2023	0.3611
-100.0000	0.1360	1.2929	0.3736
-90.0000	-0.0600	1.3180	0.3756
-80.0000	-0.2540	1.2722	0.3652
-70.0000	-0.4310	1.1624	0.3439
-60.0000	-0.5760	0.9981	0.3138
-50.0000	-0.6760	0.7943	0.2775
-40.0000	-0.7200	0.5705	0.2395
-35.0000	-0.7180	0.4600	0.2229
-30.0000	-0.7040	0.3502	0.2055
-25.0000	-0.6800	0.2528	0.1990
-23.0000	-0.6660	0.2151	0.1963
-21.0000	-0.6500	0.1782	0.1934
-20.0000	-0.6410	0.1602	0.1919
-19.0000	-0.6150	0.1471	0.1842
-18.0000	-0.5870	0.1350	0.1755
-17.0000	-0.5570	0.1239	0.1657
-16.0000	-0.5260	0.1136	0.1548
-15.0000	-0.4930	0.1044	0.1430
-14.0000	-0.4777	0.0959	0.1303
-13.0000	-0.4629	0.0882	0.1172
-12.0000	-0.4457	0.0813	0.1033
-11.0000	-0.4318	0.0752	0.0890
-10.0000	-0.4212	0.1104	0.0744
-9.0000	-0.4131	0.1030	0.0039
-8.0000	-0.3392	0.0961	-0.0666
-7.0000	-0.2750	0.0798	-0.0628
-6.0000	-0.2108	0.0642	-0.0590
-5.0000	-0.1500	0.0481	-0.0600
-4.0000	-0.0947	0.0323	-0.0597
-3.0000	-0.0298	0.0202	-0.0596
-2.0000	0.0228	0.0076	-0.0574
-1.0000	0.0995	0.0043	-0.0524
0.0000	0.1925	0.0041	-0.0571
1.0000	0.3037	0.0073	-0.0672
2.0000	0.4148	0.0100	-0.0755
3.0000	0.5173	0.0109	-0.0784
4.0000	0.6190	0.0114	-0.0798
5.0000	0.7174	0.0119	-0.0807
6.0000	0.8149	0.0123	-0.0809
7.0000	0.9039	0.0138	-0.0796
8.0000	0.9914	0.0161	-0.0777
9.0000	1.0649	0.0219	-0.0742
10.0000	1.1361	0.0303	-0.0705
11.0000	1.1960	0.0453	-0.0679
12.0000	1.2541	0.0638	-0.0660
13.0000	1.3104	0.0872	-0.0658
14.0000	1.3680	0.1133	-0.0686
15.0000	1.4242	0.1434	-0.0759
16.0000	1.4755	0.1772	-0.0862
17.0000	1.5263	0.2137	-0.0976
18.0000	1.5785	0.2513	-0.1096
19.0000	1.6293	0.2901	-0.1216
20.0000	1.6806	0.3312	-0.1332
21.0000	1.7327	0.3732	-0.1420
22.0000	1.7840	0.4171	-0.1490
23.0000	1.8348	0.4630	-0.1561
24.0000	1.8688	0.5072	-0.1630
25.0000	1.8995	0.5526	-0.1699
27.0000	1.9526	0.6453	-0.1835
29.0000	1.9954	0.7393	-0.1970
31.0000	2.0296	0.8354	-0.2093
33.0000	2.0555	0.9324	-0.2206
35.0000	2.0732	1.0282	-0.2317
40.0000	2.0704	1.2593	-0.2589
45.0000	1.9967	1.4748	-0.2841
50.0000	1.8686	1.6586	-0.3086
55.0000	1.6820	1.8001	-0.3314
60.0000	1.4583	1.8930	-0.3537
65.0000	1.2012	1.9230	-0.3738
70.0000	0.9346	1.8955	-0.3934
75.0000	0.6670	1.7967	-0.4105
80.0000	0.4217	1.6488	-0.4271
85.0000	0.2127	1.4584	-0.4407
90.0000	0.0620	1.3390	-0.4536
95.0000	-0.0390	1.3301	-0.4618
100.0000	-0.1380	1.3138	-0.4690
105.0000	-0.2330	1.2717	-0.4711
110.0000	-0.3270	1.2222	-0.4722
115.0000	-0.4090	1.1508	-0.4686
120.0000	-0.4870	1.0725	-0.4637
125.0000	-0.5500	0.9781	-0.4553
130.0000	-0.6060	0.8779	-0.4449
135.0000	-0.6430	0.7693	-0.4324
140.0000	-0.6700	0.6565	-0.4173
145.0000	-0.6790	0.5442	-0.4023
150.0000	-0.6760	0.4302	-0.3834
155.0000	-0.6610	0.3263	-0.3714
160.0000	-0.6300	0.2245	-0.3541
165.0000	-0.5380	0.1463	-0.3736
170.0000	-0.4460	0.0680	-0.3931
175.0000	-0.2330	0.0430	-0.2019
180.0000	0.0000	0.0351	0.0000
